,number_of_passage,timestamp,line,road_type
1670,157,2022-04-11 20:00:00,USKUDAR-EMINONU,DENIZ
1671,103,2022-04-11 21:00:00,USKUDAR-EMINONU,DENIZ
1672,1,2022-04-11 22:00:00,USKUDAR-EMINONU,DENIZ
1673,0,2022-04-11 23:00:00,USKUDAR-EMINONU,DENIZ
1674,0,2022-04-12 00:00:00,USKUDAR-EMINONU,DENIZ
1675,0,2022-04-12 01:00:00,USKUDAR-EMINONU,DENIZ
1676,0,2022-04-12 02:00:00,USKUDAR-EMINONU,DENIZ
1677,0,2022-04-12 03:00:00,USKUDAR-EMINONU,DENIZ
1678,0,2022-04-12 04:00:00,USKUDAR-EMINONU,DENIZ
1679,0,2022-04-12 05:00:00,USKUDAR-EMINONU,DENIZ
1680,349,2022-04-12 06:00:00,USKUDAR-EMINONU,DENIZ
1681,900,2022-04-12 07:00:00,USKUDAR-EMINONU,DENIZ
1682,1011,2022-04-12 08:00:00,USKUDAR-EMINONU,DENIZ
1683,817,2022-04-12 09:00:00,USKUDAR-EMINONU,DENIZ
1684,889,2022-04-12 10:00:00,USKUDAR-EMINONU,DENIZ
1685,1035,2022-04-12 11:00:00,USKUDAR-EMINONU,DENIZ
1686,1097,2022-04-12 12:00:00,USKUDAR-EMINONU,DENIZ
1687,1119,2022-04-12 13:00:00,USKUDAR-EMINONU,DENIZ
1688,1009,2022-04-12 14:00:00,USKUDAR-EMINONU,DENIZ
1689,841,2022-04-12 15:00:00,USKUDAR-EMINONU,DENIZ
1690,668,2022-04-12 16:00:00,USKUDAR-EMINONU,DENIZ
1691,631,2022-04-12 17:00:00,USKUDAR-EMINONU,DENIZ
1692,520,2022-04-12 18:00:00,USKUDAR-EMINONU,DENIZ
1693,228,2022-04-12 19:00:00,USKUDAR-EMINONU,DENIZ
1694,244,2022-04-12 20:00:00,USKUDAR-EMINONU,DENIZ
1695,198,2022-04-12 21:00:00,USKUDAR-EMINONU,DENIZ
1696,0,2022-04-12 22:00:00,USKUDAR-EMINONU,DENIZ
1697,0,2022-04-12 23:00:00,USKUDAR-EMINONU,DENIZ
1698,0,2022-04-13 00:00:00,USKUDAR-EMINONU,DENIZ
1699,0,2022-04-13 01:00:00,USKUDAR-EMINONU,DENIZ
1700,0,2022-04-13 02:00:00,USKUDAR-EMINONU,DENIZ
1701,0,2022-04-13 03:00:00,USKUDAR-EMINONU,DENIZ
1702,0,2022-04-13 04:00:00,USKUDAR-EMINONU,DENIZ
1703,0,2022-04-13 05:00:00,USKUDAR-EMINONU,DENIZ
1704,343,2022-04-13 06:00:00,USKUDAR-EMINONU,DENIZ
1705,925,2022-04-13 07:00:00,USKUDAR-EMINONU,DENIZ
1706,1022,2022-04-13 08:00:00,USKUDAR-EMINONU,DENIZ
1707,855,2022-04-13 09:00:00,USKUDAR-EMINONU,DENIZ
1708,936,2022-04-13 10:00:00,USKUDAR-EMINONU,DENIZ
1709,1192,2022-04-13 11:00:00,USKUDAR-EMINONU,DENIZ
1710,1354,2022-04-13 12:00:00,USKUDAR-EMINONU,DENIZ
1711,1214,2022-04-13 13:00:00,USKUDAR-EMINONU,DENIZ
1712,1208,2022-04-13 14:00:00,USKUDAR-EMINONU,DENIZ
1713,905,2022-04-13 15:00:00,USKUDAR-EMINONU,DENIZ
1714,868,2022-04-13 16:00:00,USKUDAR-EMINONU,DENIZ
1715,765,2022-04-13 17:00:00,USKUDAR-EMINONU,DENIZ
1716,632,2022-04-13 18:00:00,USKUDAR-EMINONU,DENIZ
1717,288,2022-04-13 19:00:00,USKUDAR-EMINONU,DENIZ
1718,355,2022-04-13 20:00:00,USKUDAR-EMINONU,DENIZ
1719,272,2022-04-13 21:00:00,USKUDAR-EMINONU,DENIZ
1720,0,2022-04-13 22:00:00,USKUDAR-EMINONU,DENIZ
1721,0,2022-04-13 23:00:00,USKUDAR-EMINONU,DENIZ
1722,0,2022-04-14 00:00:00,USKUDAR-EMINONU,DENIZ
1723,0,2022-04-14 01:00:00,USKUDAR-EMINONU,DENIZ
1724,0,2022-04-14 02:00:00,USKUDAR-EMINONU,DENIZ
1725,0,2022-04-14 03:00:00,USKUDAR-EMINONU,DENIZ
1726,0,2022-04-14 04:00:00,USKUDAR-EMINONU,DENIZ
1727,0,2022-04-14 05:00:00,USKUDAR-EMINONU,DENIZ
1728,340,2022-04-14 06:00:00,USKUDAR-EMINONU,DENIZ
1729,903,2022-04-14 07:00:00,USKUDAR-EMINONU,DENIZ
1730,1017,2022-04-14 08:00:00,USKUDAR-EMINONU,DENIZ
1731,837,2022-04-14 09:00:00,USKUDAR-EMINONU,DENIZ
1732,920,2022-04-14 10:00:00,USKUDAR-EMINONU,DENIZ
1733,1109,2022-04-14 11:00:00,USKUDAR-EMINONU,DENIZ
1734,1322,2022-04-14 12:00:00,USKUDAR-EMINONU,DENIZ
1735,1376,2022-04-14 13:00:00,USKUDAR-EMINONU,DENIZ
1736,1447,2022-04-14 14:00:00,USKUDAR-EMINONU,DENIZ
1737,1318,2022-04-14 15:00:00,USKUDAR-EMINONU,DENIZ
1738,1066,2022-04-14 16:00:00,USKUDAR-EMINONU,DENIZ
1739,904,2022-04-14 17:00:00,USKUDAR-EMINONU,DENIZ
1740,681,2022-04-14 18:00:00,USKUDAR-EMINONU,DENIZ
1741,423,2022-04-14 19:00:00,USKUDAR-EMINONU,DENIZ
1742,450,2022-04-14 20:00:00,USKUDAR-EMINONU,DENIZ
1743,327,2022-04-14 21:00:00,USKUDAR-EMINONU,DENIZ
1744,1,2022-04-14 22:00:00,USKUDAR-EMINONU,DENIZ
1745,0,2022-04-14 23:00:00,USKUDAR-EMINONU,DENIZ
1746,0,2022-04-15 00:00:00,USKUDAR-EMINONU,DENIZ
1747,0,2022-04-15 01:00:00,USKUDAR-EMINONU,DENIZ
1748,0,2022-04-15 02:00:00,USKUDAR-EMINONU,DENIZ
1749,0,2022-04-15 03:00:00,USKUDAR-EMINONU,DENIZ
1750,0,2022-04-15 04:00:00,USKUDAR-EMINONU,DENIZ
1751,0,2022-04-15 05:00:00,USKUDAR-EMINONU,DENIZ
1752,324,2022-04-15 06:00:00,USKUDAR-EMINONU,DENIZ
1753,866,2022-04-15 07:00:00,USKUDAR-EMINONU,DENIZ
1754,1087,2022-04-15 08:00:00,USKUDAR-EMINONU,DENIZ
1755,894,2022-04-15 09:00:00,USKUDAR-EMINONU,DENIZ
1756,1016,2022-04-15 10:00:00,USKUDAR-EMINONU,DENIZ
1757,1367,2022-04-15 11:00:00,USKUDAR-EMINONU,DENIZ
1758,1363,2022-04-15 12:00:00,USKUDAR-EMINONU,DENIZ
1759,1481,2022-04-15 13:00:00,USKUDAR-EMINONU,DENIZ
1760,1480,2022-04-15 14:00:00,USKUDAR-EMINONU,DENIZ
1761,1381,2022-04-15 15:00:00,USKUDAR-EMINONU,DENIZ
1762,1073,2022-04-15 16:00:00,USKUDAR-EMINONU,DENIZ
1763,1173,2022-04-15 17:00:00,USKUDAR-EMINONU,DENIZ
1764,997,2022-04-15 18:00:00,USKUDAR-EMINONU,DENIZ
1765,635,2022-04-15 19:00:00,USKUDAR-EMINONU,DENIZ
1766,468,2022-04-15 20:00:00,USKUDAR-EMINONU,DENIZ
1767,462,2022-04-15 21:00:00,USKUDAR-EMINONU,DENIZ
1768,0,2022-04-15 22:00:00,USKUDAR-EMINONU,DENIZ
1769,0,2022-04-15 23:00:00,USKUDAR-EMINONU,DENIZ
1770,0,2022-04-16 00:00:00,USKUDAR-EMINONU,DENIZ
1771,0,2022-04-16 01:00:00,USKUDAR-EMINONU,DENIZ
1772,0,2022-04-16 02:00:00,USKUDAR-EMINONU,DENIZ
1773,0,2022-04-16 03:00:00,USKUDAR-EMINONU,DENIZ
1774,0,2022-04-16 04:00:00,USKUDAR-EMINONU,DENIZ
1775,0,2022-04-16 05:00:00,USKUDAR-EMINONU,DENIZ
1776,208,2022-04-16 06:00:00,USKUDAR-EMINONU,DENIZ
1777,712,2022-04-16 07:00:00,USKUDAR-EMINONU,DENIZ
1778,733,2022-04-16 08:00:00,USKUDAR-EMINONU,DENIZ
1779,675,2022-04-16 09:00:00,USKUDAR-EMINONU,DENIZ
1780,958,2022-04-16 10:00:00,USKUDAR-EMINONU,DENIZ
1781,1105,2022-04-16 11:00:00,USKUDAR-EMINONU,DENIZ
1782,1453,2022-04-16 12:00:00,USKUDAR-EMINONU,DENIZ
1783,1681,2022-04-16 13:00:00,USKUDAR-EMINONU,DENIZ
1784,1902,2022-04-16 14:00:00,USKUDAR-EMINONU,DENIZ
1785,1749,2022-04-16 15:00:00,USKUDAR-EMINONU,DENIZ
1786,1532,2022-04-16 16:00:00,USKUDAR-EMINONU,DENIZ
1787,1411,2022-04-16 17:00:00,USKUDAR-EMINONU,DENIZ
1788,1103,2022-04-16 18:00:00,USKUDAR-EMINONU,DENIZ
1789,575,2022-04-16 19:00:00,USKUDAR-EMINONU,DENIZ
1790,573,2022-04-16 20:00:00,USKUDAR-EMINONU,DENIZ
1791,516,2022-04-16 21:00:00,USKUDAR-EMINONU,DENIZ
1792,1,2022-04-16 22:00:00,USKUDAR-EMINONU,DENIZ
1793,0,2022-04-16 23:00:00,USKUDAR-EMINONU,DENIZ
1794,0,2022-04-17 00:00:00,USKUDAR-EMINONU,DENIZ
1795,0,2022-04-17 01:00:00,USKUDAR-EMINONU,DENIZ
1796,0,2022-04-17 02:00:00,USKUDAR-EMINONU,DENIZ
1797,0,2022-04-17 03:00:00,USKUDAR-EMINONU,DENIZ
1798,0,2022-04-17 04:00:00,USKUDAR-EMINONU,DENIZ
1799,0,2022-04-17 05:00:00,USKUDAR-EMINONU,DENIZ
1800,62,2022-04-17 06:00:00,USKUDAR-EMINONU,DENIZ
1801,128,2022-04-17 07:00:00,USKUDAR-EMINONU,DENIZ
1802,216,2022-04-17 08:00:00,USKUDAR-EMINONU,DENIZ
1803,286,2022-04-17 09:00:00,USKUDAR-EMINONU,DENIZ
1804,336,2022-04-17 10:00:00,USKUDAR-EMINONU,DENIZ
1805,490,2022-04-17 11:00:00,USKUDAR-EMINONU,DENIZ
1806,685,2022-04-17 12:00:00,USKUDAR-EMINONU,DENIZ
1807,776,2022-04-17 13:00:00,USKUDAR-EMINONU,DENIZ
1808,798,2022-04-17 14:00:00,USKUDAR-EMINONU,DENIZ
1809,670,2022-04-17 15:00:00,USKUDAR-EMINONU,DENIZ
1810,599,2022-04-17 16:00:00,USKUDAR-EMINONU,DENIZ
1811,550,2022-04-17 17:00:00,USKUDAR-EMINONU,DENIZ
1812,426,2022-04-17 18:00:00,USKUDAR-EMINONU,DENIZ
1813,184,2022-04-17 19:00:00,USKUDAR-EMINONU,DENIZ
1814,123,2022-04-17 20:00:00,USKUDAR-EMINONU,DENIZ
1815,136,2022-04-17 21:00:00,USKUDAR-EMINONU,DENIZ
1816,0,2022-04-17 22:00:00,USKUDAR-EMINONU,DENIZ
1817,0,2022-04-17 23:00:00,USKUDAR-EMINONU,DENIZ
1818,0,2022-04-18 00:00:00,USKUDAR-EMINONU,DENIZ
1819,0,2022-04-18 01:00:00,USKUDAR-EMINONU,DENIZ
1820,0,2022-04-18 02:00:00,USKUDAR-EMINONU,DENIZ
1821,0,2022-04-18 03:00:00,USKUDAR-EMINONU,DENIZ
1822,0,2022-04-18 04:00:00,USKUDAR-EMINONU,DENIZ
1823,0,2022-04-18 05:00:00,USKUDAR-EMINONU,DENIZ
1824,314,2022-04-18 06:00:00,USKUDAR-EMINONU,DENIZ
1825,796,2022-04-18 07:00:00,USKUDAR-EMINONU,DENIZ
1826,868,2022-04-18 08:00:00,USKUDAR-EMINONU,DENIZ
1827,669,2022-04-18 09:00:00,USKUDAR-EMINONU,DENIZ
1828,529,2022-04-18 10:00:00,USKUDAR-EMINONU,DENIZ
1829,423,2022-04-18 11:00:00,USKUDAR-EMINONU,DENIZ
1830,574,2022-04-18 12:00:00,USKUDAR-EMINONU,DENIZ
1831,514,2022-04-18 13:00:00,USKUDAR-EMINONU,DENIZ
1832,387,2022-04-18 14:00:00,USKUDAR-EMINONU,DENIZ
1833,329,2022-04-18 15:00:00,USKUDAR-EMINONU,DENIZ
1834,261,2022-04-18 16:00:00,USKUDAR-EMINONU,DENIZ
1835,257,2022-04-18 17:00:00,USKUDAR-EMINONU,DENIZ
1836,200,2022-04-18 18:00:00,USKUDAR-EMINONU,DENIZ
1837,115,2022-04-18 19:00:00,USKUDAR-EMINONU,DENIZ
1838,121,2022-04-18 20:00:00,USKUDAR-EMINONU,DENIZ
1839,112,2022-04-18 21:00:00,USKUDAR-EMINONU,DENIZ
1840,0,2022-04-18 22:00:00,USKUDAR-EMINONU,DENIZ
1841,0,2022-04-18 23:00:00,USKUDAR-EMINONU,DENIZ
1842,0,2022-04-19 00:00:00,USKUDAR-EMINONU,DENIZ
1843,0,2022-04-19 01:00:00,USKUDAR-EMINONU,DENIZ
1844,0,2022-04-19 02:00:00,USKUDAR-EMINONU,DENIZ
1845,0,2022-04-19 03:00:00,USKUDAR-EMINONU,DENIZ
1846,0,2022-04-19 04:00:00,USKUDAR-EMINONU,DENIZ
1847,0,2022-04-19 05:00:00,USKUDAR-EMINONU,DENIZ
1848,302,2022-04-19 06:00:00,USKUDAR-EMINONU,DENIZ
1849,857,2022-04-19 07:00:00,USKUDAR-EMINONU,DENIZ
1850,891,2022-04-19 08:00:00,USKUDAR-EMINONU,DENIZ
1851,753,2022-04-19 09:00:00,USKUDAR-EMINONU,DENIZ
1852,547,2022-04-19 10:00:00,USKUDAR-EMINONU,DENIZ
1853,567,2022-04-19 11:00:00,USKUDAR-EMINONU,DENIZ
1854,601,2022-04-19 12:00:00,USKUDAR-EMINONU,DENIZ
1855,491,2022-04-19 13:00:00,USKUDAR-EMINONU,DENIZ
1856,509,2022-04-19 14:00:00,USKUDAR-EMINONU,DENIZ
1857,464,2022-04-19 15:00:00,USKUDAR-EMINONU,DENIZ
1858,410,2022-04-19 16:00:00,USKUDAR-EMINONU,DENIZ
1859,350,2022-04-19 17:00:00,USKUDAR-EMINONU,DENIZ
1860,284,2022-04-19 18:00:00,USKUDAR-EMINONU,DENIZ
1861,141,2022-04-19 19:00:00,USKUDAR-EMINONU,DENIZ
1862,162,2022-04-19 20:00:00,USKUDAR-EMINONU,DENIZ
1863,141,2022-04-19 21:00:00,USKUDAR-EMINONU,DENIZ
1864,0,2022-04-19 22:00:00,USKUDAR-EMINONU,DENIZ
1865,0,2022-04-19 23:00:00,USKUDAR-EMINONU,DENIZ
1866,0,2022-04-20 00:00:00,USKUDAR-EMINONU,DENIZ
1867,0,2022-04-20 01:00:00,USKUDAR-EMINONU,DENIZ
1868,0,2022-04-20 02:00:00,USKUDAR-EMINONU,DENIZ
1869,0,2022-04-20 03:00:00,USKUDAR-EMINONU,DENIZ
1870,0,2022-04-20 04:00:00,USKUDAR-EMINONU,DENIZ
1871,0,2022-04-20 05:00:00,USKUDAR-EMINONU,DENIZ
1872,351,2022-04-20 06:00:00,USKUDAR-EMINONU,DENIZ
1873,993,2022-04-20 07:00:00,USKUDAR-EMINONU,DENIZ
1874,995,2022-04-20 08:00:00,USKUDAR-EMINONU,DENIZ
1875,872,2022-04-20 09:00:00,USKUDAR-EMINONU,DENIZ
1876,888,2022-04-20 10:00:00,USKUDAR-EMINONU,DENIZ
1877,895,2022-04-20 11:00:00,USKUDAR-EMINONU,DENIZ
1878,975,2022-04-20 12:00:00,USKUDAR-EMINONU,DENIZ
1879,1016,2022-04-20 13:00:00,USKUDAR-EMINONU,DENIZ
1880,929,2022-04-20 14:00:00,USKUDAR-EMINONU,DENIZ
1881,952,2022-04-20 15:00:00,USKUDAR-EMINONU,DENIZ
1882,754,2022-04-20 16:00:00,USKUDAR-EMINONU,DENIZ
1883,697,2022-04-20 17:00:00,USKUDAR-EMINONU,DENIZ
1884,727,2022-04-20 18:00:00,USKUDAR-EMINONU,DENIZ
1885,394,2022-04-20 19:00:00,USKUDAR-EMINONU,DENIZ
1886,323,2022-04-20 20:00:00,USKUDAR-EMINONU,DENIZ
1887,272,2022-04-20 21:00:00,USKUDAR-EMINONU,DENIZ
1888,3,2022-04-20 22:00:00,USKUDAR-EMINONU,DENIZ
1889,0,2022-04-20 23:00:00,USKUDAR-EMINONU,DENIZ
1890,0,2022-04-21 00:00:00,USKUDAR-EMINONU,DENIZ
1891,0,2022-04-21 01:00:00,USKUDAR-EMINONU,DENIZ
1892,0,2022-04-21 02:00:00,USKUDAR-EMINONU,DENIZ
1893,0,2022-04-21 03:00:00,USKUDAR-EMINONU,DENIZ
1894,0,2022-04-21 04:00:00,USKUDAR-EMINONU,DENIZ
1895,0,2022-04-21 05:00:00,USKUDAR-EMINONU,DENIZ
1896,328,2022-04-21 06:00:00,USKUDAR-EMINONU,DENIZ
1897,912,2022-04-21 07:00:00,USKUDAR-EMINONU,DENIZ
1898,968,2022-04-21 08:00:00,USKUDAR-EMINONU,DENIZ
1899,844,2022-04-21 09:00:00,USKUDAR-EMINONU,DENIZ
1900,841,2022-04-21 10:00:00,USKUDAR-EMINONU,DENIZ
1901,883,2022-04-21 11:00:00,USKUDAR-EMINONU,DENIZ
1902,952,2022-04-21 12:00:00,USKUDAR-EMINONU,DENIZ
1903,846,2022-04-21 13:00:00,USKUDAR-EMINONU,DENIZ
1904,964,2022-04-21 14:00:00,USKUDAR-EMINONU,DENIZ
1905,883,2022-04-21 15:00:00,USKUDAR-EMINONU,DENIZ
1906,699,2022-04-21 16:00:00,USKUDAR-EMINONU,DENIZ
1907,663,2022-04-21 17:00:00,USKUDAR-EMINONU,DENIZ
1908,644,2022-04-21 18:00:00,USKUDAR-EMINONU,DENIZ
1909,320,2022-04-21 19:00:00,USKUDAR-EMINONU,DENIZ
1910,285,2022-04-21 20:00:00,USKUDAR-EMINONU,DENIZ
1911,248,2022-04-21 21:00:00,USKUDAR-EMINONU,DENIZ
1912,1,2022-04-21 22:00:00,USKUDAR-EMINONU,DENIZ
1913,0,2022-04-21 23:00:00,USKUDAR-EMINONU,DENIZ
1914,0,2022-04-22 00:00:00,USKUDAR-EMINONU,DENIZ
1915,0,2022-04-22 01:00:00,USKUDAR-EMINONU,DENIZ
1916,0,2022-04-22 02:00:00,USKUDAR-EMINONU,DENIZ
1917,0,2022-04-22 03:00:00,USKUDAR-EMINONU,DENIZ
1918,0,2022-04-22 04:00:00,USKUDAR-EMINONU,DENIZ
1919,0,2022-04-22 05:00:00,USKUDAR-EMINONU,DENIZ
1920,378,2022-04-22 06:00:00,USKUDAR-EMINONU,DENIZ
1921,901,2022-04-22 07:00:00,USKUDAR-EMINONU,DENIZ
1922,1005,2022-04-22 08:00:00,USKUDAR-EMINONU,DENIZ
1923,794,2022-04-22 09:00:00,USKUDAR-EMINONU,DENIZ
1924,800,2022-04-22 10:00:00,USKUDAR-EMINONU,DENIZ
1925,907,2022-04-22 11:00:00,USKUDAR-EMINONU,DENIZ
1926,924,2022-04-22 12:00:00,USKUDAR-EMINONU,DENIZ
1927,876,2022-04-22 13:00:00,USKUDAR-EMINONU,DENIZ
1928,976,2022-04-22 14:00:00,USKUDAR-EMINONU,DENIZ
1929,886,2022-04-22 15:00:00,USKUDAR-EMINONU,DENIZ
1930,860,2022-04-22 16:00:00,USKUDAR-EMINONU,DENIZ
1931,905,2022-04-22 17:00:00,USKUDAR-EMINONU,DENIZ
1932,974,2022-04-22 18:00:00,USKUDAR-EMINONU,DENIZ
1933,421,2022-04-22 19:00:00,USKUDAR-EMINONU,DENIZ
1934,354,2022-04-22 20:00:00,USKUDAR-EMINONU,DENIZ
1935,350,2022-04-22 21:00:00,USKUDAR-EMINONU,DENIZ
1936,0,2022-04-22 22:00:00,USKUDAR-EMINONU,DENIZ
1937,0,2022-04-22 23:00:00,USKUDAR-EMINONU,DENIZ
1938,0,2022-04-23 00:00:00,USKUDAR-EMINONU,DENIZ
1939,0,2022-04-23 01:00:00,USKUDAR-EMINONU,DENIZ
1940,0,2022-04-23 02:00:00,USKUDAR-EMINONU,DENIZ
1941,0,2022-04-23 03:00:00,USKUDAR-EMINONU,DENIZ
1942,0,2022-04-23 04:00:00,USKUDAR-EMINONU,DENIZ
1943,0,2022-04-23 05:00:00,USKUDAR-EMINONU,DENIZ
1944,151,2022-04-23 06:00:00,USKUDAR-EMINONU,DENIZ
1945,789,2022-04-23 07:00:00,USKUDAR-EMINONU,DENIZ
1946,825,2022-04-23 08:00:00,USKUDAR-EMINONU,DENIZ
1947,803,2022-04-23 09:00:00,USKUDAR-EMINONU,DENIZ
1948,901,2022-04-23 10:00:00,USKUDAR-EMINONU,DENIZ
1949,1340,2022-04-23 11:00:00,USKUDAR-EMINONU,DENIZ
1950,1788,2022-04-23 12:00:00,USKUDAR-EMINONU,DENIZ
1951,2209,2022-04-23 13:00:00,USKUDAR-EMINONU,DENIZ
1952,2580,2022-04-23 14:00:00,USKUDAR-EMINONU,DENIZ
1953,2630,2022-04-23 15:00:00,USKUDAR-EMINONU,DENIZ
1954,2565,2022-04-23 16:00:00,USKUDAR-EMINONU,DENIZ
1955,2292,2022-04-23 17:00:00,USKUDAR-EMINONU,DENIZ
1956,1895,2022-04-23 18:00:00,USKUDAR-EMINONU,DENIZ
1957,1112,2022-04-23 19:00:00,USKUDAR-EMINONU,DENIZ
1958,850,2022-04-23 20:00:00,USKUDAR-EMINONU,DENIZ
1959,918,2022-04-23 21:00:00,USKUDAR-EMINONU,DENIZ
1960,0,2022-04-23 22:00:00,USKUDAR-EMINONU,DENIZ
1961,0,2022-04-23 23:00:00,USKUDAR-EMINONU,DENIZ
1962,0,2022-04-24 00:00:00,USKUDAR-EMINONU,DENIZ
1963,0,2022-04-24 01:00:00,USKUDAR-EMINONU,DENIZ
1964,0,2022-04-24 02:00:00,USKUDAR-EMINONU,DENIZ
1965,0,2022-04-24 03:00:00,USKUDAR-EMINONU,DENIZ
1966,0,2022-04-24 04:00:00,USKUDAR-EMINONU,DENIZ
1967,1,2022-04-24 05:00:00,USKUDAR-EMINONU,DENIZ
1968,53,2022-04-24 06:00:00,USKUDAR-EMINONU,DENIZ
1969,147,2022-04-24 07:00:00,USKUDAR-EMINONU,DENIZ
1970,244,2022-04-24 08:00:00,USKUDAR-EMINONU,DENIZ
1971,319,2022-04-24 09:00:00,USKUDAR-EMINONU,DENIZ
1972,431,2022-04-24 10:00:00,USKUDAR-EMINONU,DENIZ
1973,787,2022-04-24 11:00:00,USKUDAR-EMINONU,DENIZ
1974,1144,2022-04-24 12:00:00,USKUDAR-EMINONU,DENIZ
1975,1432,2022-04-24 13:00:00,USKUDAR-EMINONU,DENIZ
1976,1741,2022-04-24 14:00:00,USKUDAR-EMINONU,DENIZ
1977,1762,2022-04-24 15:00:00,USKUDAR-EMINONU,DENIZ
1978,1507,2022-04-24 16:00:00,USKUDAR-EMINONU,DENIZ
1979,1479,2022-04-24 17:00:00,USKUDAR-EMINONU,DENIZ
1980,1349,2022-04-24 18:00:00,USKUDAR-EMINONU,DENIZ
1981,688,2022-04-24 19:00:00,USKUDAR-EMINONU,DENIZ
1982,530,2022-04-24 20:00:00,USKUDAR-EMINONU,DENIZ
1983,450,2022-04-24 21:00:00,USKUDAR-EMINONU,DENIZ
1984,9,2022-04-24 22:00:00,USKUDAR-EMINONU,DENIZ
1985,0,2022-04-24 23:00:00,USKUDAR-EMINONU,DENIZ
1986,0,2022-04-25 00:00:00,USKUDAR-EMINONU,DENIZ
1987,0,2022-04-25 01:00:00,USKUDAR-EMINONU,DENIZ
1988,0,2022-04-25 02:00:00,USKUDAR-EMINONU,DENIZ
1989,0,2022-04-25 03:00:00,USKUDAR-EMINONU,DENIZ
1990,0,2022-04-25 04:00:00,USKUDAR-EMINONU,DENIZ
1991,0,2022-04-25 05:00:00,USKUDAR-EMINONU,DENIZ
1992,383,2022-04-25 06:00:00,USKUDAR-EMINONU,DENIZ
1993,1005,2022-04-25 07:00:00,USKUDAR-EMINONU,DENIZ
1994,1067,2022-04-25 08:00:00,USKUDAR-EMINONU,DENIZ
1995,982,2022-04-25 09:00:00,USKUDAR-EMINONU,DENIZ
1996,813,2022-04-25 10:00:00,USKUDAR-EMINONU,DENIZ
1997,991,2022-04-25 11:00:00,USKUDAR-EMINONU,DENIZ
1998,1028,2022-04-25 12:00:00,USKUDAR-EMINONU,DENIZ
1999,952,2022-04-25 13:00:00,USKUDAR-EMINONU,DENIZ
2000,923,2022-04-25 14:00:00,USKUDAR-EMINONU,DENIZ
2001,842,2022-04-25 15:00:00,USKUDAR-EMINONU,DENIZ
2002,696,2022-04-25 16:00:00,USKUDAR-EMINONU,DENIZ
2003,759,2022-04-25 17:00:00,USKUDAR-EMINONU,DENIZ
2004,740,2022-04-25 18:00:00,USKUDAR-EMINONU,DENIZ
2005,383,2022-04-25 19:00:00,USKUDAR-EMINONU,DENIZ
2006,271,2022-04-25 20:00:00,USKUDAR-EMINONU,DENIZ
2007,302,2022-04-25 21:00:00,USKUDAR-EMINONU,DENIZ
2008,0,2022-04-25 22:00:00,USKUDAR-EMINONU,DENIZ
2009,0,2022-04-25 23:00:00,USKUDAR-EMINONU,DENIZ
2010,0,2022-04-26 00:00:00,USKUDAR-EMINONU,DENIZ
2011,0,2022-04-26 01:00:00,USKUDAR-EMINONU,DENIZ
2012,0,2022-04-26 02:00:00,USKUDAR-EMINONU,DENIZ
2013,0,2022-04-26 03:00:00,USKUDAR-EMINONU,DENIZ
2014,0,2022-04-26 04:00:00,USKUDAR-EMINONU,DENIZ
2015,0,2022-04-26 05:00:00,USKUDAR-EMINONU,DENIZ
2016,381,2022-04-26 06:00:00,USKUDAR-EMINONU,DENIZ
2017,980,2022-04-26 07:00:00,USKUDAR-EMINONU,DENIZ
2018,1091,2022-04-26 08:00:00,USKUDAR-EMINONU,DENIZ
2019,893,2022-04-26 09:00:00,USKUDAR-EMINONU,DENIZ
2020,870,2022-04-26 10:00:00,USKUDAR-EMINONU,DENIZ
2021,914,2022-04-26 11:00:00,USKUDAR-EMINONU,DENIZ
2022,960,2022-04-26 12:00:00,USKUDAR-EMINONU,DENIZ
2023,953,2022-04-26 13:00:00,USKUDAR-EMINONU,DENIZ
2024,914,2022-04-26 14:00:00,USKUDAR-EMINONU,DENIZ
2025,835,2022-04-26 15:00:00,USKUDAR-EMINONU,DENIZ
2026,720,2022-04-26 16:00:00,USKUDAR-EMINONU,DENIZ
2027,760,2022-04-26 17:00:00,USKUDAR-EMINONU,DENIZ
2028,745,2022-04-26 18:00:00,USKUDAR-EMINONU,DENIZ
2029,316,2022-04-26 19:00:00,USKUDAR-EMINONU,DENIZ
2030,250,2022-04-26 20:00:00,USKUDAR-EMINONU,DENIZ
2031,240,2022-04-26 21:00:00,USKUDAR-EMINONU,DENIZ
2032,3,2022-04-26 22:00:00,USKUDAR-EMINONU,DENIZ
2033,0,2022-04-26 23:00:00,USKUDAR-EMINONU,DENIZ
2034,0,2022-04-27 00:00:00,USKUDAR-EMINONU,DENIZ
2035,0,2022-04-27 01:00:00,USKUDAR-EMINONU,DENIZ
2036,0,2022-04-27 02:00:00,USKUDAR-EMINONU,DENIZ
2037,0,2022-04-27 03:00:00,USKUDAR-EMINONU,DENIZ
2038,0,2022-04-27 04:00:00,USKUDAR-EMINONU,DENIZ
2039,0,2022-04-27 05:00:00,USKUDAR-EMINONU,DENIZ
2040,357,2022-04-27 06:00:00,USKUDAR-EMINONU,DENIZ
2041,937,2022-04-27 07:00:00,USKUDAR-EMINONU,DENIZ
2042,1058,2022-04-27 08:00:00,USKUDAR-EMINONU,DENIZ
2043,871,2022-04-27 09:00:00,USKUDAR-EMINONU,DENIZ
2044,833,2022-04-27 10:00:00,USKUDAR-EMINONU,DENIZ
2045,881,2022-04-27 11:00:00,USKUDAR-EMINONU,DENIZ
